Date,time,Out Temp.,Out hum.,Wind Dir.,Wind speed,SL Pressure,In T.,Today rain
01-08-2021,23:55,21.6,63%,135(SE),1.6 km/h,1013.8 hpa,27.4º,0.0 mm
01-08-2021,23:50,21.7,63%,135(SE),1.6 km/h,1013.9 hpa,27.4º,0.0 mm
01-08-2021,23:45,21.7,62%,135(SE),3.2 km/h,1013.8 hpa,27.6º,0.0 mm
01-08-2021,23:40,21.9,62%,135(SE),3.2 km/h,1013.9 hpa,27.7º,0.0 mm
01-08-2021,23:35,22.1,61%,135(SE),1.6 km/h,1014.0 hpa,27.7º,0.0 mm
01-08-2021,23:30,22.2,60%,135(SE),1.6 km/h,1014.1 hpa,27.8º,0.0 mm
01-08-2021,23:25,22.3,60%,135(SE),1.6 km/h,1014.1 hpa,27.8º,0.0 mm
01-08-2021,23:20,22.4,58%,135(SE),1.6 km/h,1014.1 hpa,27.8º,0.0 mm
01-08-2021,23:15,22.5,58%,157(SE),1.6 km/h,1014.1 hpa,27.8º,0.0 mm
01-08-2021,23:10,22.6,58%,157(SE),3.2 km/h,1014.0 hpa,27.9º,0.0 mm
01-08-2021,23:05,22.7,57%,112 (E),1.6 km/h,1013.9 hpa,27.9º,0.0 mm
01-08-2021,23:00,22.7,58%,112 (E),1.6 km/h,1013.9 hpa,28.1º,0.0 mm
01-08-2021,22:55,22.7,58%,135(SE),1.6 km/h,1013.9 hpa,28.1º,0.0 mm
01-08-2021,22:50,22.7,58%,135(SE),1.6 km/h,1013.8 hpa,28.2º,0.0 mm
01-08-2021,22:45,22.8,58%,135(SE),1.6 km/h,1013.8 hpa,28.2º,0.0 mm
01-08-2021,22:40,22.8,58%,135(SE),3.2 km/h,1013.8 hpa,28.3º,0.0 mm
01-08-2021,22:35,22.9,58%,135(SE),4.8 km/h,1013.8 hpa,28.3º,0.0 mm
01-08-2021,22:30,23.0,58%,135(SE),6.4 km/h,1013.8 hpa,28.4º,0.0 mm
01-08-2021,22:25,23.2,57%,135(SE),3.2 km/h,1013.7 hpa,28.5º,0.0 mm
01-08-2021,22:20,23.4,56%,135(SE),6.4 km/h,1013.8 hpa,28.6º,0.0 mm
01-08-2021,22:15,23.8,54%,135(SE),6.4 km/h,1013.6 hpa,28.7º,0.0 mm
01-08-2021,22:10,24.2,52%,135(SE),3.2 km/h,1013.6 hpa,28.8º,0.0 mm
01-08-2021,22:05,24.7,50%,157(SE),3.2 km/h,1013.5 hpa,28.9º,0.0 mm
01-08-2021,22:00,25.2,47%,202 (S),1.6 km/h,1013.4 hpa,29.1º,0.0 mm
01-08-2021,21:55,25.3,45%,202 (S),1.6 km/h,1013.5 hpa,29.1º,0.0 mm
01-08-2021,21:50,25.6,45%,202 (S),1.6 km/h,1013.4 hpa,29.1º,0.0 mm
01-08-2021,21:45,25.7,42%,202 (S),3.2 km/h,1013.4 hpa,29.2º,0.0 mm
01-08-2021,21:40,25.8,41%,225(SW),3.2 km/h,1013.3 hpa,29.2º,0.0 mm
01-08-2021,21:35,25.8,42%,225(SW),3.2 km/h,1013.3 hpa,29.2º,0.0 mm
01-08-2021,21:30,25.9,41%,225(SW),4.8 km/h,1013.3 hpa,29.2º,0.0 mm
